Season,Episode,Speaker_coded,Emotion_coded,StartTime_int,EndTime_int,Utterance
1,1,5,4,79037,85417,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
1,1,11,4,85627,87169,"Oh, yeah. Had that dream."
1,1,5,6,87378,91465,"Then I look down, and I realize there's a phone... there."
1,1,0,6,94928,95600,Instead of...?
1,1,5,4,95600,96892,That's right.
1,1,0,4,97055,97973,Never had that dream.
1,1,3,4,97973,98629,No.
1,1,5,4,98723,102851,"All of a sudden, the phone starts to ring."
1,1,2,5,202660,205829,"I don't want to be single, okay? I just... I just- I just wanna be married again!"
1,1,5,2,209959,213086,And I just want a million dollars!
1,1,4,6,214214,215297,Rachel?!
1,1,0,4,611861,614990,Hey.
1,1,3,4,614990,615133,Hey!
1,1,4,6,622204,624289,Oh my God!
1,1,26,3,624498,628793,"I know, I know, I'm such an idiot."
1,1,4,4,636427,640680,"My brother's going through that right now, he's such a mess. How did you get through it?"
1,1,26,4,640890,644392,"Well, you might try accidentally breaking something valuable of hers, say her-"
1,1,4,4,644560,646144,-leg?
1,1,26,4,648773,650315,"That's one way! Me, I- I went for the watch."
1,1,4,6,650775,652651,You actually broke her watch?
1,1,1,5,653277,654737,"Barry, I'm sorry..."
1,1,1,5,654737,656422,I am so sorry...
1,1,1,5,656614,666706,"I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway..."
1,1,1,3,1005504,1006088,"Oh, look, wish me luck!"
1,1,4,4,1006088,1007192,What for?
1,1,1,4,1007339,1010633,I'm gonna go get one of those  job things.
1,1,2,2,1243492,1249080,"You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
1,1,1,4,1250540,1251707,I knew.
1,1,2,6,1252084,1258138,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
1,1,1,4,1258882,1259684,I did.
1,1,2,5,1259684,1260931,Oh.
1,1,1,6,1262844,1263970,Oh really?!
1,1,9,4,1264338,1266597,Yeah. Did you tell someone that I was gay?
1,1,2,2,1265514,1276983,"Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here—but do you think it would be okay if I asked you out?"
1,1,1,3,1266807,1270142,"Oh, did you not want people to know that?"
1,1,2,4,1273105,1275817,Sometime?
1,1,2,4,1275817,1277031,Maybe?
1,1,1,3,1278235,1281821,"Yeah, maybe..."
1,1,2,3,1280529,1291872,"Okay... okay, maybe I will..."
1,2,22,5,566816,572821,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well."
1,2,19,6,573030,578034,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!
1,2,22,3,580997,584666,"Well, at least she had the chance to leave a man at the altar..."
1,2,4,6,587837,590589,What's that supposed to mean?
1,2,22,4,590798,592530,Nothing! It's an expression.
1,2,4,4,592530,594148,No it's not.
1,2,19,4,594302,595468,Don't listen to your mother.
1,2,19,4,595678,597637,"You're independent, and you always have been!"
1,2,19,4,597847,603351,"Even when you were a kid... and you were chubby, and you had no friends, you were just fine!"
1,2,19,4,605146,608273,"And you would read alone in your room, and your puzzles..."
1,2,2,4,878085,881546,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway."
1,2,25,4,882631,884173,Hi.
1,2,7,4,884758,886690,"Ross, you remember Susan."
1,2,2,6,886690,887832,How could I forget?
1,2,25,4,887832,887971,Ross.
1,2,2,0,889471,896728,"Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?"
1,2,7,4,896937,897829,Dr. Oberman.
1,2,2,4,897829,899285,..Dr. Oberman. Okay. And is he-
1,2,25,4,899440,901983,She.
1,2,2,4,899440,907196,"-she, of course, she- uh- familiar with our.. special situation?"
1,2,7,4,907406,909240,"Yes, and she's very supportive."
1,2,2,3,909450,914704,"Okay, that's great.  No, I'm- Oh."
1,2,7,4,915706,917165,Thanks.
1,2,2,4,931680,932889,"Quack, quack.."
1,2,7,6,935309,938937,Ross? That opens my cervix.
1,2,1,6,945778,946279,Barry?
1,2,30,4,946279,948348,C'mon in.
1,2,1,6,948489,949447,Are you sure?
1,2,30,4,949657,952116,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours."
1,2,229,6,952326,953493,Huh?!
1,2,30,4,956705,958414,"So, how ya doin?"
1,2,30,4,1047337,1055344,Sorry about that. So. What have you been up to?
1,2,1,3,1055554,1061392,"Oh, not much. I-I got a job."
1,2,30,3,1058599,1061392,"Oh, that's great."
1,2,1,6,1062519,1063936,Why are- why are you so tanned?
1,2,30,4,1065022,1068649,"Oh, I, uh- I went to Aruba."
1,3,4,4,421712,423171,"I mean, why should I let them meet him?"
1,3,4,1,423381,426299,"I mean, I bring a guy home, and within five minutes they're all over him."
1,3,4,3,426509,430345,"I mean, they're like- coyotes, picking off the weak members of the herd."
1,3,116,4,431055,435392,Listen.
1,3,116,4,431055,439396,"As someone who's seen more than her fair share of bad beef, I'll tell you: that is not such a terrible thing."
1,3,116,4,439605,442107,"I mean, they're your friends, they're just looking out after you."
1,3,4,5,442316,445652,"I know. I just wish that once, I'd bring a guy home that they actually liked."
1,3,116,4,445862,451616,"Well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy.."
1,3,0,4,453578,455120,"Let it go, Ross."
1,3,2,4,455329,457080,"Yeah, well, you didn't know Chi Chi."
1,3,4,4,461252,462419,Do you all promise?
1,3,4,4,465548,468467,Chandler? Do you promise to be good?
1,3,0,3,476058,480270,"You can come in, but your filter-tipped little buddy has to stay outside!"
1,3,2,4,486694,488195,"Hey, Pheebs."
1,3,3,4,490072,491414,Dear Ms. Buffay.
1,3,3,4,490072,496287,We have credited your account with five hundred dollars.
1,3,3,4,491414,493294,Thank you for calling attention to our error.
1,3,3,4,496287,509457,"We're sorry for the inconvenience, and hope you'll accept this-  -"
1,3,4,4,657198,658365,Hi.. how was the game?
1,3,2,4,659742,661117,Well..
1,3,11,3,661327,663870,WE WON!! Thank you! Yes!
1,3,4,6,664705,667624,Fantastic! I have one question: How is that possible?
1,3,0,4,668709,669271,Alan.
1,3,2,3,669271,671057,He was unbelievable.
1,3,2,3,671212,678426,"He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-..."
1,3,1,3,682056,685475,"I mean, it-it was like, it was like he made us into a team."
1,3,5,3,687895,690522,"Yep, we sure showed those Hassidic jewellers a thing or two about softball.."
1,3,4,4,691857,696111,Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..
1,3,2,6,696320,699882,What?
1,3,4,4,699882,700332,"..I dunno, a little too Alan?"
1,3,1,3,700491,703910,"Well, no. That's impossible. You can never be too Alan."
1,3,2,3,704120,708832,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore."
1,3,5,3,709166,711376,I personally could have a gallon of Alan.
1,3,5,4,852768,855395,"Well, maybe it's a contest, y'know? Like, collect all five?"
1,3,3,4,857940,859148,"Does, um, anyone wanna see?"
1,3,11,1,859358,860775,Nooo..
1,3,11,0,861777,864237,"Oh, hey, don't do that! Cut it out!"
1,3,1,1,864446,865947,It's worse than the thumb!
1,3,5,0,867741,869534,"Hey, this is so unfair!"
1,3,4,6,869743,871954,"Oh, why is it unfair?"
1,3,5,0,871954,873046,So I have a flaw!
1,3,5,0,873046,874152,Big deal!
1,3,5,0,874248,876958,Like Joey's constant knuckle-cracking isn't annoying?
1,3,5,0,877167,879335,"And Ross, with his over-pronouncing every single word?"
1,3,5,0,879545,881671,"And Monica, with that snort when she laughs?"
1,3,5,1,881881,884215,"I mean, what the hell is that thing?"
1,3,5,0,886176,889470,"...I accept all those flaws, why can't you accept me for this?"
1,3,0,0,896645,899898,...Does the knuckle-cracking bother everybody?
1,3,1,4,901984,905528,"Well, I-I could live without it."
1,3,0,4,901984,907739,"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?"
1,3,2,4,915956,919083,"Oh, now, don't listen to him, Pheebs, I think it's endearing."
1,3,0,0,919293,921544,"Oh,  ""you do, do you""?"
1,3,2,4,927593,930845,"You know, there's nothing wrong with speaking correctly."
1,3,1,3,931055,937769,"""Indeed there isn't""... I should really get back to work."
1,3,3,4,937978,941064,"Yeah, 'cause otherwise someone might get what they actually ordered."
1,3,1,0,942358,946694,"Ohh-ho-hooohhh. The hair comes out, and the gloves come on."
1,3,0,1,1010801,1012343,Do you have any respect for your body?
1,3,2,1,1012553,1014637,Don't you realise what you're-you're doing to yourself?
1,3,5,0,1014847,1019100,"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease."
1,3,5,4,1019309,1022937,"The bottom line is, smoking is cool, and you know it."
1,3,1,4,1027026,1028776,"Chandler? It's Alan, he wants to speak to you."
1,3,5,6,1028986,1029529,Really?
1,3,5,6,1029529,1030875,He does?
1,3,5,3,1032239,1034407,"Hey, buddy, what's up!"
1,3,5,6,1036035,1038369,"Oh, she told you about that, huh."
1,3,5,4,1039163,1040675,"Well, yeah, I have one now and then."
1,3,5,4,1040675,1043217,"Well, yeah, now."
