Season,Episode,Speaker_coded,Emotion_coded,StartTime_int,EndTime_int,Utterance
9,19,144,3,112488,113420,Hey!
9,19,178,3,113420,114342,Hey!
9,19,197,3,114342,115405,Hi!
9,19,144,4,115491,118953,"So, do you guys wanna come and eat dinner at the restaurant    sometime in the next few weeks?"
9,19,178,3,119161,120253,Sure!
9,19,197,3,120253,120463,I'd love to!
9,19,144,4,120663,121872,Well you
9,19,178,5,124000,130381,"Well, I can't give you a massage, because my licence has been    revoked again!"
9,19,197,4,130548,134135,"Phoebe, what happened?"
9,19,178,4,134301,137721,"Well, it was an accident...You know, it's a lot of oil and sometimes    the hand just slips!"
9,19,29,3,139515,142309,Have I got a surprise for you? Pack your bags!
9,19,178,6,142476,146897,Oh no!You guys aren't supposed to get divorced for 7 years!
9,19,185,4,232983,235945,"Hey Joey, is this the bed where Olivia lost her virginity?"
9,19,108,3,236153,242493,"I don't know, but one of the extras sure did!  Hey, listen    Rach. Thanks again for coming down to watch my scenes!"
9,19,185,6,242701,251210,"Oh, please!Honey, just the fact that you want me here to support    you, I'm...OH MY GOD!Is that Christian Sanders?He's so"
9,19,108,4,251418,254088,Also so
9,19,185,4,254255,258175,"Oh, in my head he's done some pretty ""not-gay-stuff""!"
9,19,108,4,258384,262763,"Well, at the Christmas party him and Santa did some definitely    gay stuff!"
9,19,0,3,355731,357443,Everything was delicious!
9,19,144,3,357443,357780,Thank you!
9,19,1,3,357900,360444,It was. The duck in particular was superb.
9,19,144,3,360611,367993,Thank you!    You haven't said anything...
9,19,2,4,368202,370704,Actually I do have one small complaint.
9,19,144,4,370871,375501,Oh..please!I-I welcome criticism.
9,19,2,5,376168,379463,The musician right outside the restaurant...it's kind    of a mood-killer!
9,19,144,6,379671,380756,What musician?
9,19,178,4,381006,386720,"And there's a country called Argentinaaaa,    it's a place I've never seeeeen."
9,19,178,4,386887,393185,But I'm told for fifty pesos you can buy a    human spleen.
9,19,178,4,393352,397231,Human spleeeen.
9,19,178,3,397398,398607,Olé!
9,19,144,6,400734,402164,What are you doing here!
9,19,178,3,402361,406365,"Well, you said that you had customers lined up in the street,    so I am here to entertain!"
9,19,144,3,406532,407094,Great!
9,19,178,3,406532,414081,"It really has been great too, you know, some of this people    must have seen me play before because they were requesting a bunch of my songs!"
9,19,178,3,407094,409370,Yeah!
9,19,178,3,414248,418710,"Yeah, ""You suck"" and ""shut up and go home""."
9,19,144,3,420546,421589,Listen Phoebe...
9,19,178,4,421589,422063,Yeah.
9,19,144,4,422172,428095,"You know how much I love listening to your music, you know,    but..."
9,19,178,4,425217,428095,But what?
9,19,144,4,428262,433183,This is kind of a classy place.
9,19,178,4,433600,434893,"Ok, say no more."
9,19,185,3,557724,558986,Hi!
9,19,108,3,558986,559197,Hey!
9,19,185,4,559309,564106,"Joey, I gotta tell ya, I've been thinking"
9,19,108,3,564273,572197,"Oh, you know, the writing was good, and the director is good,    and... and my co-star's good"
9,19,185,3,575909,578036,"God, you have to tell me what happens tomorrow!"
9,19,108,6,578245,581039,"Ow, I'm just going over the script now! You wanna read lines with    me?"
9,19,185,1,581206,584668,"Me? Oh, no, I am not an actress."
9,19,108,4,584876,586218,"Oh, all right, I can ask Monica."
9,19,185,0,586218,587352,"Oh screw her, that part is mine!"
9,19,108,4,588880,591675,"Right...  ok, so just from the top of the page, right here."
9,19,185,6,591842,599850,"Okay. . Hello Drake, I'm surprised to see you    here."
9,19,112,6,600058,603353,I can't believe you married him.
9,19,187,0,603520,606815,But what choice did I have. He was keeping my sister    in a
9,19,112,5,609443,612696,So what about us? Everything we feel for each other.
9,19,187,3,612904,615365,It's over! You
9,19,112,6,615532,620037,How can I?
9,19,112,5,615532,627961,"Knowing I'll never hold you in my arms again,    or touch your skin, or feel your lips, knowing I'll never make love to you?"
9,19,112,5,628128,631131,How can I accept that...
9,19,112,5,631298,634301,I can never kiss you again when it's all I can do not    to kiss you right now.
9,19,185,3,637638,638805,Kiss me.
9,19,108,6,640057,641767,What?
